#,Authors,Title
2,Asieh Salehi Fathabadi and Mark Hermeling,"Industrial Adoption of Formal Methods: An Industry
Perspective on the Transition to SPARK for Security
Critical Firmware Development"
3,Max Richter and Fabian Vu,Domain-Specific 3D Visualization of Formal Models
5,"Téo Bernier, Frédéric Loulergue and Nikolai Kosmatov",Deductive Verification of a Patricia Trie with Creusot
6,"Ian J. Hayes, Larissa Meinicke and Cliff Jones","Reasoning about concurrent loops and recursion with
rely-guarantee rules"
9,"Benjamin Puyobro, Paolo Crisafulli and Burkhart Wolff","A Formally Verified N-Dimensional Safety Shield for
Autonomous Systems"
12,"Alessandro Fantechi, Gloria Gori and Jacopo Zecchi","Exploiting the Layout of a Railway Interlocking System for
Path Reliability Evaluation"
19,Edoardo Putti and Alexander Stekelenburg,"Consistency proofs for axiomatic extensions: translating
VerCors's Axiomatic Data Types into Isabelle"
20,Jonas Schürmann and Bernhard Steffen,"Lazy Three-Way Model Merging in Cinco Cloud: A
Lattice-Theoretic Approach"
